algorithm,threads,n,k,rep,dtype,time
ParPriority,12,30000000,22500000,13,i32,1348
SeqPermutation,12,30000000,22500000,13,i32,161
FullPermutation,12,30000000,22500000,13,i32,9558
ParPermutation,12,30000000,22500000,13,i32,8503
Naive,12,30000000,22500000,14,i32,5826
SeqPriority,12,30000000,22500000,14,i32,218
ParPriority,12,30000000,22500000,14,i32,1121
SeqPermutation,12,30000000,22500000,14,i32,160
FullPermutation,12,30000000,22500000,14,i32,9594
ParPermutation,12,30000000,22500000,14,i32,8496
Naive,12,30000000,27000000,0,i32,7181
SeqPriority,12,30000000,27000000,0,i32,124
ParPriority,12,30000000,27000000,0,i32,1921
SeqPermutation,12,30000000,27000000,0,i32,170
FullPermutation,12,30000000,27000000,0,i32,9609
ParPermutation,12,30000000,27000000,0,i32,9381
Naive,12,30000000,27000000,1,i32,7133
SeqPriority,12,30000000,27000000,1,i32,273
ParPriority,12,30000000,27000000,1,i32,1628
SeqPermutation,12,30000000,27000000,1,i32,177
FullPermutation,12,30000000,27000000,1,i32,9617
ParPermutation,12,30000000,27000000,1,i32,9391
Naive,12,30000000,27000000,2,i32,7209
SeqPriority,12,30000000,27000000,2,i32,235
ParPriority,12,30000000,27000000,2,i32,1080
SeqPermutation,12,30000000,27000000,2,i32,170
FullPermutation,12,30000000,27000000,2,i32,9570
ParPermutation,12,30000000,27000000,2,i32,9362
Naive,12,30000000,27000000,3,i32,7111
SeqPriority,12,30000000,27000000,3,i32,160
ParPriority,12,30000000,27000000,3,i32,1031
SeqPermutation,12,30000000,27000000,3,i32,175
FullPermutation,12,30000000,27000000,3,i32,9603
ParPermutation,12,30000000,27000000,3,i32,9350
Naive,12,30000000,27000000,4,i32,7395
SeqPriority,12,30000000,27000000,4,i32,186
ParPriority,12,30000000,27000000,4,i32,1729
SeqPermutation,12,30000000,27000000,4,i32,172
FullPermutation,12,30000000,27000000,4,i32,9575
ParPermutation,12,30000000,27000000,4,i32,9393
Naive,12,30000000,27000000,5,i32,7277
SeqPriority,12,30000000,27000000,5,i32,107
ParPriority,12,30000000,27000000,5,i32,2229
SeqPermutation,12,30000000,27000000,5,i32,171
FullPermutation,12,30000000,27000000,5,i32,9572
ParPermutation,12,30000000,27000000,5,i32,9373
Naive,12,30000000,27000000,6,i32,7317
SeqPriority,12,30000000,27000000,6,i32,169
ParPriority,12,30000000,27000000,6,i32,1456
SeqPermutation,12,30000000,27000000,6,i32,169
FullPermutation,12,30000000,27000000,6,i32,9591
ParPermutation,12,30000000,27000000,6,i32,9392
Naive,12,30000000,27000000,7,i32,7197
SeqPriority,12,30000000,27000000,7,i32,245
ParPriority,12,30000000,27000000,7,i32,1310
SeqPermutation,12,30000000,27000000,7,i32,170
FullPermutation,12,30000000,27000000,7,i32,9574
ParPermutation,12,30000000,27000000,7,i32,9379
Naive,12,30000000,27000000,8,i32,7354
SeqPriority,12,30000000,27000000,8,i32,134
ParPriority,12,30000000,27000000,8,i32,1839
SeqPermutation,12,30000000,27000000,8,i32,171
FullPermutation,12,30000000,27000000,8,i32,9601
ParPermutation,12,30000000,27000000,8,i32,9392
Naive,12,30000000,27000000,9,i32,7384
SeqPriority,12,30000000,27000000,9,i32,205
ParPriority,12,30000000,27000000,9,i32,1235
SeqPermutation,12,30000000,27000000,9,i32,171
FullPermutation,12,30000000,27000000,9,i32,9595
ParPermutation,12,30000000,27000000,9,i32,9379
Naive,12,30000000,27000000,10,i32,7382
SeqPriority,12,30000000,27000000,10,i32,159
ParPriority,12,30000000,27000000,10,i32,1147
SeqPermutation,12,30000000,27000000,10,i32,172
FullPermutation,12,30000000,27000000,10,i32,9582
ParPermutation,12,30000000,27000000,10,i32,9395
Naive,12,30000000,27000000,11,i32,7320
SeqPriority,12,30000000,27000000,11,i32,131
ParPriority,12,30000000,27000000,11,i32,1035
SeqPermutation,12,30000000,27000000,11,i32,171
FullPermutation,12,30000000,27000000,11,i32,9597
ParPermutation,12,30000000,27000000,11,i32,9384
Naive,12,30000000,27000000,12,i32,7241
SeqPriority,12,30000000,27000000,12,i32,190
ParPriority,12,30000000,27000000,12,i32,1723
SeqPermutation,12,30000000,27000000,12,i32,171
FullPermutation,12,30000000,27000000,12,i32,9576
ParPermutation,12,30000000,27000000,12,i32,9393
Naive,12,30000000,27000000,13,i32,7419
SeqPriority,12,30000000,27000000,13,i32,126
ParPriority,12,30000000,27000000,13,i32,1925
SeqPermutation,12,30000000,27000000,13,i32,174
FullPermutation,12,30000000,27000000,13,i32,9595
ParPermutation,12,30000000,27000000,13,i32,9402
Naive,12,30000000,27000000,14,i32,7305
SeqPriority,12,30000000,27000000,14,i32,173
ParPriority,12,30000000,27000000,14,i32,1561
SeqPermutation,12,30000000,27000000,14,i32,171
FullPermutation,12,30000000,27000000,14,i32,9568
ParPermutation,12,30000000,27000000,14,i32,9363
