algorithm,threads,n,k,rep,dtype,time
SeqPriority,24,30000000,22500000,3,i32,167
ParPriority,24,30000000,22500000,3,i32,1171
SeqPermutation,24,30000000,22500000,3,i32,159
FullPermutation,24,30000000,22500000,3,i32,10462
ParPermutation,24,30000000,22500000,3,i32,9080
Naive,24,30000000,22500000,4,i32,5803
SeqPriority,24,30000000,22500000,4,i32,174
ParPriority,24,30000000,22500000,4,i32,1212
SeqPermutation,24,30000000,22500000,4,i32,159
FullPermutation,24,30000000,22500000,4,i32,10508
ParPermutation,24,30000000,22500000,4,i32,9110
Naive,24,30000000,22500000,5,i32,5769
SeqPriority,24,30000000,22500000,5,i32,198
ParPriority,24,30000000,22500000,5,i32,1618
SeqPermutation,24,30000000,22500000,5,i32,159
FullPermutation,24,30000000,22500000,5,i32,10477
ParPermutation,24,30000000,22500000,5,i32,9092
Naive,24,30000000,22500000,6,i32,5705
SeqPriority,24,30000000,22500000,6,i32,124
ParPriority,24,30000000,22500000,6,i32,1044
SeqPermutation,24,30000000,22500000,6,i32,162
FullPermutation,24,30000000,22500000,6,i32,10510
ParPermutation,24,30000000,22500000,6,i32,9072
Naive,24,30000000,22500000,7,i32,5701
SeqPriority,24,30000000,22500000,7,i32,169
ParPriority,24,30000000,22500000,7,i32,781
SeqPermutation,24,30000000,22500000,7,i32,158
FullPermutation,24,30000000,22500000,7,i32,10529
ParPermutation,24,30000000,22500000,7,i32,9159
Naive,24,30000000,22500000,8,i32,5745
SeqPriority,24,30000000,22500000,8,i32,133
ParPriority,24,30000000,22500000,8,i32,1249
SeqPermutation,24,30000000,22500000,8,i32,157
FullPermutation,24,30000000,22500000,8,i32,10509
ParPermutation,24,30000000,22500000,8,i32,9095
Naive,24,30000000,22500000,9,i32,5901
SeqPriority,24,30000000,22500000,9,i32,240
ParPriority,24,30000000,22500000,9,i32,1020
SeqPermutation,24,30000000,22500000,9,i32,155
FullPermutation,24,30000000,22500000,9,i32,10511
ParPermutation,24,30000000,22500000,9,i32,9117
Naive,24,30000000,22500000,10,i32,5665
SeqPriority,24,30000000,22500000,10,i32,159
ParPriority,24,30000000,22500000,10,i32,1204
SeqPermutation,24,30000000,22500000,10,i32,157
FullPermutation,24,30000000,22500000,10,i32,10499
ParPermutation,24,30000000,22500000,10,i32,9124
Naive,24,30000000,22500000,11,i32,5906
SeqPriority,24,30000000,22500000,11,i32,213
ParPriority,24,30000000,22500000,11,i32,1028
SeqPermutation,24,30000000,22500000,11,i32,159
FullPermutation,24,30000000,22500000,11,i32,10507
ParPermutation,24,30000000,22500000,11,i32,9113
Naive,24,30000000,22500000,12,i32,5784
SeqPriority,24,30000000,22500000,12,i32,201
ParPriority,24,30000000,22500000,12,i32,705
SeqPermutation,24,30000000,22500000,12,i32,159
FullPermutation,24,30000000,22500000,12,i32,10552
ParPermutation,24,30000000,22500000,12,i32,9067
