algorithm,threads,n,k,rep,dtype,time
ParPriority,1,30000000,27000000,3,i32,12875
SeqPermutation,1,30000000,27000000,3,i32,451
FullPermutation,1,30000000,27000000,3,i32,17941
ParPermutation,1,30000000,27000000,3,i32,17835
Naive,1,30000000,27000000,4,i32,7339
SeqPriority,1,30000000,27000000,4,i32,130
ParPriority,1,30000000,27000000,4,i32,11394
SeqPermutation,1,30000000,27000000,4,i32,448
FullPermutation,1,30000000,27000000,4,i32,18083
ParPermutation,1,30000000,27000000,4,i32,17986
Naive,1,30000000,27000000,5,i32,7417
SeqPriority,1,30000000,27000000,5,i32,155
ParPriority,1,30000000,27000000,5,i32,18503
SeqPermutation,1,30000000,27000000,5,i32,453
FullPermutation,1,30000000,27000000,5,i32,17912
ParPermutation,1,30000000,27000000,5,i32,17908
Naive,1,30000000,27000000,6,i32,7526
SeqPriority,1,30000000,27000000,6,i32,90
ParPriority,1,30000000,27000000,6,i32,19344
SeqPermutation,1,30000000,27000000,6,i32,436
FullPermutation,1,30000000,27000000,6,i32,17853
ParPermutation,1,30000000,27000000,6,i32,17882
Naive,1,30000000,27000000,7,i32,7379
SeqPriority,1,30000000,27000000,7,i32,114
ParPriority,1,30000000,27000000,7,i32,8930
SeqPermutation,1,30000000,27000000,7,i32,434
FullPermutation,1,30000000,27000000,7,i32,18157
ParPermutation,1,30000000,27000000,7,i32,17801
Naive,1,30000000,27000000,8,i32,7393
SeqPriority,1,30000000,27000000,8,i32,152
ParPriority,1,30000000,27000000,8,i32,19312
SeqPermutation,1,30000000,27000000,8,i32,447
FullPermutation,1,30000000,27000000,8,i32,18049
ParPermutation,1,30000000,27000000,8,i32,17835
Naive,1,30000000,27000000,9,i32,7404
SeqPriority,1,30000000,27000000,9,i32,97
ParPriority,1,30000000,27000000,9,i32,14178
SeqPermutation,1,30000000,27000000,9,i32,449
FullPermutation,1,30000000,27000000,9,i32,18062
ParPermutation,1,30000000,27000000,9,i32,17944
Naive,1,30000000,27000000,10,i32,7431
SeqPriority,1,30000000,27000000,10,i32,125
ParPriority,1,30000000,27000000,10,i32,17009
SeqPermutation,1,30000000,27000000,10,i32,449
FullPermutation,1,30000000,27000000,10,i32,18095
ParPermutation,1,30000000,27000000,10,i32,17842
