algorithm,threads,n,k,rep,dtype,time(mu)
ParPriority,1,20000000,15000000,3,i32,8761457
SeqPermutation,1,20000000,15000000,3,i32,276767
FullPermutation,1,20000000,15000000,3,i32,10878587
ParPermutation,1,20000000,15000000,3,i32,9720212
Naive,1,20000000,15000000,4,i32,3377934
SeqPriority,1,20000000,15000000,4,i32,112760
ParPriority,1,20000000,15000000,4,i32,13514422
SeqPermutation,1,20000000,15000000,4,i32,273091
FullPermutation,1,20000000,15000000,4,i32,10923667
ParPermutation,1,20000000,15000000,4,i32,9757310
Naive,1,20000000,15000000,5,i32,3377557
SeqPriority,1,20000000,15000000,5,i32,83667
ParPriority,1,20000000,15000000,5,i32,11103424
SeqPermutation,1,20000000,15000000,5,i32,273828
FullPermutation,1,20000000,15000000,5,i32,10915804
ParPermutation,1,20000000,15000000,5,i32,9691002
Naive,1,20000000,15000000,6,i32,3346407
SeqPriority,1,20000000,15000000,6,i32,78863
ParPriority,1,20000000,15000000,6,i32,8468528
SeqPermutation,1,20000000,15000000,6,i32,275889
FullPermutation,1,20000000,15000000,6,i32,10854068
ParPermutation,1,20000000,15000000,6,i32,9677139
Naive,1,20000000,15000000,7,i32,3350860
SeqPriority,1,20000000,15000000,7,i32,82203
ParPriority,1,20000000,15000000,7,i32,13636647
SeqPermutation,1,20000000,15000000,7,i32,276790
FullPermutation,1,20000000,15000000,7,i32,10948903
ParPermutation,1,20000000,15000000,7,i32,9654073
Naive,1,20000000,15000000,8,i32,3354266
SeqPriority,1,20000000,15000000,8,i32,91694
ParPriority,1,20000000,15000000,8,i32,9932225
SeqPermutation,1,20000000,15000000,8,i32,277812
FullPermutation,1,20000000,15000000,8,i32,10909041
ParPermutation,1,20000000,15000000,8,i32,9624829
Naive,1,20000000,15000000,9,i32,3368556
SeqPriority,1,20000000,15000000,9,i32,56092
ParPriority,1,20000000,15000000,9,i32,11262260
SeqPermutation,1,20000000,15000000,9,i32,280725
FullPermutation,1,20000000,15000000,9,i32,10897385
ParPermutation,1,20000000,15000000,9,i32,9725094
Naive,1,20000000,18000000,0,i32,4163966
SeqPriority,1,20000000,18000000,0,i32,73338
ParPriority,1,20000000,18000000,0,i32,9614143
SeqPermutation,1,20000000,18000000,0,i32,282194
FullPermutation,1,20000000,18000000,0,i32,10926701
ParPermutation,1,20000000,18000000,0,i32,10737683
Naive,1,20000000,18000000,1,i32,4076169
SeqPriority,1,20000000,18000000,1,i32,66349
ParPriority,1,20000000,18000000,1,i32,6383309
SeqPermutation,1,20000000,18000000,1,i32,282429
FullPermutation,1,20000000,18000000,1,i32,11057147
ParPermutation,1,20000000,18000000,1,i32,10695819
Naive,1,20000000,18000000,2,i32,4088815
SeqPriority,1,20000000,18000000,2,i32,76271
ParPriority,1,20000000,18000000,2,i32,15223470
SeqPermutation,1,20000000,18000000,2,i32,278397
FullPermutation,1,20000000,18000000,2,i32,10948830
ParPermutation,1,20000000,18000000,2,i32,10726788
Naive,1,20000000,18000000,3,i32,4133442
SeqPriority,1,20000000,18000000,3,i32,117462
ParPriority,1,20000000,18000000,3,i32,8633626
SeqPermutation,1,20000000,18000000,3,i32,281804
FullPermutation,1,20000000,18000000,3,i32,11090574
ParPermutation,1,20000000,18000000,3,i32,10743369
Naive,1,20000000,18000000,4,i32,4117852
SeqPriority,1,20000000,18000000,4,i32,74630
ParPriority,1,20000000,18000000,4,i32,7076029
SeqPermutation,1,20000000,18000000,4,i32,277226
FullPermutation,1,20000000,18000000,4,i32,10878817
ParPermutation,1,20000000,18000000,4,i32,10764440
Naive,1,20000000,18000000,5,i32,4054623
SeqPriority,1,20000000,18000000,5,i32,52645
ParPriority,1,20000000,18000000,5,i32,8468433
SeqPermutation,1,20000000,18000000,5,i32,278821
FullPermutation,1,20000000,18000000,5,i32,10915781
ParPermutation,1,20000000,18000000,5,i32,10767784
Naive,1,20000000,18000000,6,i32,4098008
SeqPriority,1,20000000,18000000,6,i32,127316
ParPriority,1,20000000,18000000,6,i32,11780504
SeqPermutation,1,20000000,18000000,6,i32,280973
FullPermutation,1,20000000,18000000,6,i32,10913768
ParPermutation,1,20000000,18000000,6,i32,10723787
Naive,1,20000000,18000000,7,i32,4100294
SeqPriority,1,20000000,18000000,7,i32,91229
ParPriority,1,20000000,18000000,7,i32,9295356
SeqPermutation,1,20000000,18000000,7,i32,279669
FullPermutation,1,20000000,18000000,7,i32,10891188
ParPermutation,1,20000000,18000000,7,i32,10679810
Naive,1,20000000,18000000,8,i32,4167814
SeqPriority,1,20000000,18000000,8,i32,106385
ParPriority,1,20000000,18000000,8,i32,11979752
SeqPermutation,1,20000000,18000000,8,i32,279526
FullPermutation,1,20000000,18000000,8,i32,10998045
ParPermutation,1,20000000,18000000,8,i32,10720800
Naive,1,20000000,18000000,9,i32,4162345
SeqPriority,1,20000000,18000000,9,i32,80378
ParPriority,1,20000000,18000000,9,i32,9274389
SeqPermutation,1,20000000,18000000,9,i32,279779
FullPermutation,1,20000000,18000000,9,i32,10889826
ParPermutation,1,20000000,18000000,9,i32,10777291
